ID,Customer Name,Disabled,Sales Person (Sales Team),Contribution (%) (Sales Team),Commission Rate (Sales Team)
"SGC CONSULTING PTE ,LTD","SGC CONSULTING PTE ,LTD",0,Changi,100,2%
"SGM TECHNOLOGIES (S) PTE,LTD.","SGM TECHNOLOGIES (S) PTE,LTD.",0,Mr. Deva,100,5%
SHAKTHI SVCS,SHAKTHI SVCS,0,Mr. Deva,100,5%
SHIVSHAKTI SIVAN ENTERPRISE,SHIVSHAKTI SIVAN ENTERPRISE,0,Mr. Deva,100,5%
SHOP W SMILE PTE LTD,SHOP W SMILE PTE LTD,0,Changi,100,2%
SHOP@ DBAY PTE.LTD,SHOP@ DBAY PTE.LTD,0,Changi,100,2%
"SHREE BABA TRADINGS PTE,LTD","SHREE BABA TRADINGS PTE,LTD",0,Changi,100,2%
SHREE LAKSHMI STORES,SHREE LAKSHMI STORES,0,Changi,100,2%
SHRI KANDAAS MARKETING PTE LTD - 1,SHRI KANDAAS MARKETING PTE LTD,0,Mr. Deva,100,5%
SIDVIN SUPERMART,SIDVIN SUPERMART,0,Changi,100,2%
SIMPLY CONVENIENT STORE,SIMPLY CONVENIENT STORE,0,Changi,100,2%
SINGAI TRADING,SINGAI TRADING,0,Changi,100,2%
"SIR MART PTE,LTD","SIR MART PTE,LTD",0,Changi,100,2%
SK  RAJA SK MOBILE,SK  RAJA SK MOBILE,0,Mr. Deva,100,5%
"SMART PUNJAB ENTERPRISE PTE,LTD.","SMART PUNJAB ENTERPRISE PTE,LTD.",0,Mr. Deva,100,5%
SMART TRADING PTE LTD,SMAART TRADING PTE LTD,0,Changi,100,2%
SMS MOBILES PRIVATE LIMITED,SMS MOBILES PRIVATE LIMITED,0,Mr. Deva,100,5%
SONIA SUNDRIES,SONIA SUNDRIES,0,Mr. Deva,100,5%
"SPEED MOBILE SHOP PTE,LTD.","SPEED MOBILE SHOP PTE,LTD.",1,Mr. Deva,100,5%
SRI ARUTHRA STORES,SRI ARUTHRA STORES,0,Changi,100,2%
SRI MARKETING,SRI MARKETING,0,Mr. Deva,100,5%
SRI MINIMART,SRI MINIMART,0,Changi,100,2%
SRI RENGA TRADING PTE. LTD.,SRI RENGA TRADING PTE. LTD.,0,Changi,100,2%
STOCK ADJUSTMENT,STOCK ADJUSTMENT,0,Mr. Deva,100,5%
SUN UNIVERSE (156),SUN UNIVERSE (156),0,Mr. Deva,100,5%
SUN UNIVERSE PTE LTD - 1,SUN UNIVERSE PTE LTD (39),0,Mr. Deva,100,5%
"SUNMAX COMMUNICATION PTE,LTD.","SUNMAX COMMUNICATION PTE,LTD.",0,Mr. Deva,100,5%
SUNSHINE STAR ENTERPRISES PTE LTD,SUNSHINE STAR ENTERPRISES PTE LTD,0,Changi,100,2%
SUNTEK (39),SUNTEK (39),0,Mr. Deva,100,5%
SUNTEK (RC156),SUNTEK (RC156),1,Mr. Deva,100,5%
SUNTEK (SYED ALWI),SUNTEK (SYED ALWI),0,Mr. Deva,100,5%
TAMIL NADU FOOD TRADING PTE LTD,TAMIL NADU FOOD TRADING PTE LTD,0,Changi,100,2%
TG ELECTRONIC,TG ELECTRONIC,0,Changi,100,2%
TG ELECTRONIC - 1,TG ELECTRONIC,0,Changi,100,2%
THANJAI SOLUTIONS PTE LTD,THANJAI SOLUTIONS PTE LTD,0,Changi,100,2%
THANJAI SOLUTIONS PTE LTD - 1,THANJAI SOLUTIONS PTE LTD,0,Changi,100,2%
TLH  Photo & Departmental Store/ Trading,TLH  Photo & Departmental Store/ Trading,0,Changi,100,2%
TPS MINIMART PTE LTD,TPS MINIMART PTE LTD,0,Changi,100,2%
TRIPLE  N  SUPER MART,TRIPLE  N  SUPER MART,0,Changi,100,2%
TRIPLE N SUPERMART PET LTD,TRIPLE N SUPERMART PET LTD,0,Changi,100,2%
Trisoft Outsourcing Pte Ltd (Jalan Besar),Trisoft Outsourcing Pte Ltd (Jalan Besar),0,Mr. Deva,100,5%
"TRISOFT OUTSOURCING PTE,LTD.","TRISOFT OUTSOURCING PTE,LTD. (PERAK)",0,Mr. Deva,100,5%
"TRISOFT OUTSOURCING PTE,LTD.(BUKIT BATOK)","TRISOFT OUTSOURCING PTE,LTD.(BUKIT BATOK)",0,Mr. Deva,100,5%
TSI TRADING & MINIMART,TSI TRADING & MINIMART,0,Changi,100,2%
UBREAK,UBREAK,0,Changi,100,2%
UBREAK iFiX.SG - 1,UBREAK iFiX.SG,0,Changi,100,2%
UNITED DREAMS,UNITED DREAMS,0,Mr. Deva,100,5%
UNITED TELECOM PTE LTD.,UNITED TELECOM PTE LTD.,0,Mr. Deva,100,5%
UNIVERCELL MOBILES,UNIVERCELL MOBILES,0,Mr. Deva,100,5%
UNIVERCELL Ptd  Ltd,UNIVERCELL Ptd  Ltd,0,Mr. Deva,100,5%
"V MOBILES SALES & SERVICES PTE, LTD .","V MOBILES SALES & SERVICES PTE, LTD .",0,Mr. Deva,100,5%
V SIMPEX MINI MART,V SIMPEX MINI MART,0,Changi,100,2%
Venus Link (Peninsula Plaza),Venus Link (Peninsula Plaza),0,Mr. Deva,100,5%
VS SUPER MART PTE LTD,VS SUPER MART PTE LTD,0,Changi,100,2%
Walk-in Customer,Walk-in Customer,0,Mr. Deva,100,5%
WALL MART PTE LTD,WALL MART PTE LTD,0,Mr. Deva,100,5%
Westlite Dormitory (Tuas) Pte Ltd,Westlite Dormitory Pte Ltd,0,Mr. Deva,100,5%
YSR SERVICES,YSR SERVICES,0,Changi,100,2%
"ZARA SUPERMARKET PTE,LTD.","ZARA SUPERMARKET PTE,LTD.",0,Mr. Deva,100,5%
ZEROMAX@D2C,ZEROMAX@D2C,0,Mr. Deva,100,5%
Zerosoft_com_sg,Zerosoft_com_sg,0,Mr. Deva,100,5%
